RECEIPTS APRIL 2024,,,,,,,,,,,,,,,,
DATE,WHOUSE,GRN #,INVOICE #,ITEM CODE,ITEM  DESCRIPTION,UOM, QUANTITY ,LOT NUMBER,MFG. DATE,EXPIRY DATE,MANUFACTURER,UNIT PRICE, TOTAL PRICE ,SUPPLIER,CONTRACT/LPO #,COMMENT
4/10/2024,NPW,G13139,INV2324-876,AA065400,"Zinc sulphate,20mg,tablet,100",100," 1,833 ",2312003,12-2023,11-2026,CROWN, 153.00 ," 280,449.00 ",Crown Pharmaceuticals & Research Laboratories Limited,CMST001949,POSTED
4/10/2024,NPW,G13139,INV2324-876,AA065400,"Zinc sulphate,20mg,tablet,100",100," 1,172 ",2312002,03-2024,11-2026,CROWN," 1,394.00 "," 1,633,768.00 ",Crown Pharmaceuticals & Research Laboratories Limited,CMST001949,POSTED
4/10/2024,NPW,G13139,INV2324-876,AA007200,"Aspirin,300mg,tablet,1000",1000, 24 ,2405022,03-2024,02-2027,CROWN," 6,426.00 "," 154,224.00 ",Crown Pharmaceuticals & Research Laboratories Limited,CMST001949,POSTED
4/10/2024,NPW,G13139,INV2324-876,AA007200,"Aspirin,300mg,tablet,1000",1000," 1,497 ",2405020,03-2024,02-2027,CROWN," 6,426.00 "," 9,619,722.00 ",Crown Pharmaceuticals & Research Laboratories Limited,CMST001949,POSTED
4/10/2024,NPW,G13139,INV2324-876,AA007200,"Aspirin,300mg,tablet,1000",1000," 1,497 ",2405021,03-2024,02-2027,CROWN," 6,426.00 "," 9,619,722.00 ",Crown Pharmaceuticals & Research Laboratories Limited,CMST001949,POSTED
4/10/2024,NPW,G13139,INV2324-876,AA007200,"Aspirin,300mg,tablet,1000",1000," 1,497 ",2405019,03-2024,02-2027,CROWN," 6,426.00 "," 9,619,722.00 ",Crown Pharmaceuticals & Research Laboratories Limited,CMST001949,POSTED
4/10/2024,NPW,G13139,INV2324-876,AA007200,"Aspirin,300mg,tablet,1000",1000," 1,497 ",2405018,03-2024,02-2027,CROWN," 6,426.00 "," 9,619,722.00 ",Crown Pharmaceuticals & Research Laboratories Limited,CMST001949,POSTED
4/10/2024,NPW,G13139,INV2324-876,AA007200,"Aspirin,300mg,tablet,1000",1000," 1,497 ",2405017,03-2024,02-2027,CROWN," 6,426.00 "," 9,619,722.00 ",Crown Pharmaceuticals & Research Laboratories Limited,CMST001949,POSTED
4/10/2024,NPW,G13139,INV2324-876,AA007200,"Aspirin,300mg,tablet,1000",1000," 1,497 ",2405016,03-2024,02-2027,CROWN," 6,426.00 "," 9,619,722.00 ",Crown Pharmaceuticals & Research Laboratories Limited,CMST001949,POSTED
4/10/2024,NPW,G13139,INV2324-876,AA007200,"Aspirin,300mg,tablet,1000",1000," 1,497 ",2405015,03-2024,02-2027,CROWN," 6,426.00 "," 9,619,722.00 ",Crown Pharmaceuticals & Research Laboratories Limited,CMST001949,POSTED
4/10/2024,NPW,G13139,INV2324-876,AA007200,"Aspirin,300mg,tablet,1000",1000," 1,497 ",2405014,03-2024,02-2027,CROWN," 6,426.00 "," 9,619,722.00 ",Crown Pharmaceuticals & Research Laboratories Limited,CMST001949,POSTED
4/15/2024,NPW,G13163,EXP 177/2023-24,AA025250,"Ferrous sulphate,60 mg /folic acid,2800 mcg,coated",100," 10,080 ",T230422,,11-2026,ANGEL BIOGENICS, 1.05 ," 10,584.00 ",ANGEL BIOGENICS PVT LTD,CMST001802,POSTED
4/15/2024,NPW,G13163,EXP 177/2023-24,AA001500,"Albendazole,400mg,Chewable tablet,100",100," 5,184 ",T240028,,01-2027,ANGEL BIOGENICS, 2.30 ," 11,923.20 ",ANGEL BIOGENICS PVT LTD,CMST001802,POSTED
4/15/2024,NPW,G13164,116,HH077700,"Glove disposable powdered latex ,medium,100",100," 2,000 ",1988,08-2023,08-2028,NEOMEDIC, 4.50 ," 9,000.00 ",A.M.E.S,CMST001908,POSTED
