No.,Description,Base Unit of Measure,Unit Cost,Unit Price
BB004500,"Aminophylline,25mg/ml,10ml,Each",EACH,396,482.92683
BB004800,"Amiodalone,50mg/ml,3ml,Each",EACH,2079.38171,2535.83135
BB005100,"Amphotericin B,50mg,PFR,Each",EACH,3433.24046,4186.87861
BB005400,"Ampicillin injection,500mg,PFR,Each",EACH,246.57685,300.70348
BB005450,Amoxycillin 250mg+Clavilanic Acid 50mg inject,EACH,0,0
BB005460,"Azithromycin injection 500 mg, PFR",EACH,0,0
BB005700,"Andolex mouth wash, 25ml bottle",EACH,0,0
BB006000,"Artesunate,60mg,PFR with diluent,Each",EACH,0,0
BB006300,"Atracurium,10mg/ml,Injection,Each",EACH,0,0
BB006600,"Atropine sulphate 600 micrograms/ml,1ml,Each",EACH,128.02975,156.13384
BB006900,"Benzathine benzylpenicillin,1.44g,(2.4MU) PFR,Each",EACH,0,0
BB007200,"Benzylpenicillin,3g,(5MU) PFR,Each",EACH,373.96594,456.05602
BB007500,"Bevacizumab,25mg/ml,4ml,Each",EACH,106647.9,130058.4146
BB007800,"Bleomycin,10IU,Each",EACH,0,0
BB008100,"Bleomycin,15IU,Each",EACH,0,0
BB008400,,EACH,7258.53187,8851.86813
BB008700,"Bleomycin,20IU,Each",EACH,0,0
BB009000,"Bleomycin,30IU,Each",EACH,0,0
BB009300,"Bortezomide,2mg/vial,Each",EACH,0,0
BB009600,Bortezomide 3.5mg/vials,EACH,0,0
BB009700,Dinoprost (prostaglandin F2 Alpha 5mg/ml),EACH,0,0
BB009900,"Bupivacaine spinal hyperbaric 0.5%, 4ml ampou",EACH,1225.28616,1494.25141
BB010000,"Bupivacaine spinal isobaric 0.5%,4ml,ampoule,Each",EACH,1215,1481.70732
BB010200,"Bupivacaine spinal isobaric 0.5%,10ml,ampoule,Each",EACH,2500,3048.78049
BB010500,"Calcium Chloride Vials,Each",EACH,1115.97246,1360.94202
BB010800,"Calcium gluconate,10%,10ml,Each",EACH,692.20587,844.1535
BB011100,Capecitabine 500mg vial,EACH,0,0
BB011200,"Peripheral Total Parenteral Nutrition, All in one",1000ML,0,0
BB011400,"Carboplatin,10mg/ml,15ml,(150mg),injection,Each",EACH,0,0
BB011700,"Carboplatin,10mg/ml,45ml,(,450mg),injection,Each",EACH,51840,63219.5122
BB011720,"Carbetocin 100mcg/ml, 1ml injection",EACH,0,0
BB012000,"Carmustine,100mg,Vial,Each",EACH,38950,47500
BB012300,"Carmustine 100mg, PFR with diluent",EACH,0,0
BB012350,Ciprofloxacin 400mg Injection 200ml 5% Dextrose,EACH,0,0
BB012400,Cynocobalamine B12 injection,EACH,0,0
BB012600,"Cefotaxime,500mg,PFR,Each",EACH,261.53425,318.94421
BB012601,"Cefotaxime, 1000mg, Injection",EACH,0,0
BB012900,"Ceftazidime,1g,PFR,Each",EACH,2293.225,2796.61585
BB012950,,,0,0
BB013200,"Ceftazidime,500mg,PFR,Each",EACH,1038.582,1266.56341
BB013500,"Ceftriaxone,1g,PFR,Each",EACH,246.37398,300.45607
BB013800,"Cervical Cancer Vaccine, PFR",EACH,0,0
BB014100,Chlorambucil 2mg Tab,EACH,0,0
BB014400,"Chloramphenicol Sodium,1g,PFR,Each",EACH,1854.8866,2262.05683
BB014700,"Chlorpromazine hydrochloride,25mg/ml,2ml,Each",EACH,360,439.02439
BB015000,"Cisplatin,10mg,PFR,Each",EACH,0,0
BB015300,"Cisplatin,20mg,PFR,Each",EACH,0,0
BB015600,"Cisplatin,50mg,PFR,Each",EACH,11700,14268.29268
BB015900,"Clopixol Acuphase,50mg/ml,1ml,Each",EACH,10800,13170.73171
BB016200,"Clopixol Depot,200mg/ml,1ml,Each",EACH,4228.33208,5156.50254
BB016500,"Cloxacillin,500mg,PFR,Each",EACH,1189,1450
BB016800,"Cyclophosphamide,1g,PFR,Each",EACH,0,0
BB017100,"Cyclophosphamide,200mg,PFR,Each",EACH,938.83432,1144.9199
BB017400,"Cyclophosphamide,500mg,PFR,Each",EACH,902,1100
BB017700,"Cytarabine,500mg,vial,Each",EACH,6580.18371,8024.61428
BB018000,"Cytarabine,100mg,PFR,Each",EACH,4434.43995,5407.8536
BB018300,"Cytarabine,1g,PFR,Each",EACH,9299.375,11340.70122
BB018600,"Dacarbazine,200mg in 20ml,vial,Each",EACH,0,0
BB018900,"Dacarbazine,200mg,PFR,Each",EACH,4448.821,5425.39146
BB019200,"Dacarbazine,500mg,PFR,Each",EACH,9196.85295,11215.67433
BB019500,"Dactinomycin,0.5mg,PFR,Each",EACH,0,0
BB019800,Dactinomycin 0.5mg (Actinomycin D) PFR,EACH,4601.68846,5611.8152
BB020100,Dalteparin/Fragmin,EACH,0,0
BB020400,"Darbepoetin Alfa 100mcg/ml, Inject, prefil syringe",EACH,0,0
BB020700,"Daunorubicin,20mg,vial,Each",EACH,0,0
BB021000,"Daunorubicin Hydrochloride for Injection,20mg,Each",EACH,5870.59895,7159.26701
